actor1,actor2,relation_exist,relation_label,confidence,runtime_seconds
A US,ABDULLAH,0,0,0.0,0.00037
A US,ACTIVIST,0,0,0.0,4.1e-05
A US,ADMINISTRATION,0,0,0.0,1e-05
A US,AIRLINE,0,0,0.0,7e-06
A US,AL JAZEERA,0,0,0.0,6e-06
A US,AMBASSADOR,0,0,0.0,5e-06
A US,AMERICAN,0,0,0.0,5e-06
A US,ARMY OFFICER,0,0,0.0,5e-06
A US,ASSAM,0,0,0.0,6e-06
A US,ASSAMESE,0,0,0.0,5e-06
A US,BANGLADESHI,0,0,0.0,5e-06
A US,BANK,0,0,0.0,5e-06
A US,BENGALI,0,0,0.0,5e-06
A US,BENGHAZI,1,-1,0.980569,0.000134
A US,BETI,0,0,0.0,1.3e-05
A US,BIHARI,0,0,0.0,7e-06
A US,BOEING,0,0,0.0,5e-06
A US,BORDER SECURITY,0,0,0.0,5e-06
A US,BUSINESS,0,0,0.0,5e-06
A US,CHAMBER,0,0,0.0,5e-06
A US,CHANCELLOR,0,0,0.0,5e-06
A US,CHIEF JUSTICE,0,0,0.0,5e-06
A US,COLLEGE,0,0,0.0,5e-06
A US,COMILLA,0,0,0.0,5e-06
A US,COMMUNITY,0,0,0.0,5e-06
A US,CONGRESS,0,0,0.0,5e-06
A US,DELEGATE,0,0,0.0,5e-06
A US,DEPUTY,0,0,0.0,5e-06
A US,DETAINEE,0,0,0.0,5e-06
A US,DHAKA,0,0,0.0,6e-06
A US,DIPLOMAT,0,0,0.0,5e-06
A US,DRUG TRAFFICKER,0,0,0.0,5e-06
A US,EDUCATION MINIST,0,0,0.0,5e-06
A US,ELECTION COMMISSION,0,0,0.0,5e-06
A US,EMPLOYER,0,0,0.0,5e-06
A US,EXTERNAL AFFAIRS MINIST,0,0,0.0,5e-06
A US,FARMER,0,0,0.0,5e-06
A US,FINANCE MINIST,0,0,0.0,5e-06
A US,FISHER,0,0,0.0,5e-06
A US,GAZIPUR,0,0,0.0,5e-06
A US,GENEVA,0,0,0.0,5e-06
A US,GOVERNMENT,0,0,0.0,5e-06
A US,HEALTH DEPARTMENT,0,0,0.0,5e-06
A US,HEALTH MINIST,0,0,0.0,5e-06
A US,HINDU,0,0,0.0,5e-06
A US,HOSPITAL,0,0,0.0,5e-06
A US,INDUSTRY,0,0,0.0,5e-06
A US,INTELLIGENCE,0,0,0.0,5e-06
A US,INTERIM GOVERNMENT,0,0,0.0,5e-06
A US,INTERIOR MINIST,0,0,0.0,5e-06
A US,IRAN,0,0,0.0,5e-06
A US,ISLAM,0,0,0.0,5e-06
A US,JOURNALIST,0,0,0.0,5e-06
A US,JUDICIARY,0,0,0.0,5e-06
A US,JUNTA CHIEF,0,0,0.0,5e-06
A US,KHALEDA ZIA,0,0,0.0,5e-06
A US,KHULNA,0,0,0.0,5e-06
A US,KISHOREGANJ,0,0,0.0,5e-06
A US,LAWMAKER,0,0,0.0,5e-06
A US,LONDON,0,0,0.0,5e-06
A US,MEDIA,0,0,0.0,5e-06
A US,MIGRANT WORKER,0,0,0.0,5e-06
A US,MINIST,0,0,0.0,5e-06
A US,MINIST OF WOMEN,0,0,0.0,5e-06
A US,MINISTRY,0,0,0.0,5e-06
A US,MUMBAI,0,0,0.0,5e-06
A US,MUSLIM,0,0,0.0,5e-06
A US,MYANMAR,0,0,0.0,5e-06
A US,NATIONAL BOARD OF REVENUE,0,0,0.0,5e-06
A US,NATIONAL ECONOMIC COUNCIL,0,0,0.0,5e-06
A US,NATIONAL SECURITY ADVISER,0,0,0.0,5e-06
A US,NEPAL,0,0,0.0,5e-06
A US,NEPALI,0,0,0.0,5e-06
A US,NEW DELHI,0,0,0.0,5e-06
A US,PAKISTAN,0,0,0.0,5e-06
A US,PARLIAMENT,0,0,0.0,5e-06
A US,PARLIAMENTARIAN,0,0,0.0,5e-06
A US,PARTY LEADER,0,0,0.0,5e-06
A US,POLICE,0,0,0.0,5e-06
A US,PRESIDENT,0,0,0.0,5e-06
A US,PRIME MINISTER,0,0,0.0,5e-06
A US,PROFESSOR,0,0,0.0,5e-06
A US,PROTESTER,0,0,0.0,5e-06
A US,PUNE,0,0,0.0,5e-06
A US,RAJSHAHI,0,0,0.0,5e-06
A US,REPRESENTATIVES,0,0,0.0,5e-06
A US,REUTERS,0,0,0.0,5e-06
A US,RIGHTS GROUP,0,0,0.0,5e-06
A US,RULING PARTY,0,0,0.0,5e-06
A US,SALAUDDIN,0,0,0.0,5e-06
A US,SAUDI ARABIA,0,0,0.0,5e-06
A US,SENA,0,0,0.0,5e-06
A US,SINGAPORE,0,0,0.0,5e-06
A US,SOMALIA,1,-1,0.980569,1.4e-05
A US,SPOKESMAN,0,0,0.0,6e-06
